query_id,tau,recall@10,mrr_top0,ndcg@10,spearman,kendall,tail_head
1,Cosine(τ=1.0),1.0000,0.0028,ref,1.0000,1.0000,0.9685
1,Hybrid(τ=0.72),0.6000,0.0029,0.8732,0.7084,0.5468,0.9740
1,Taumode(τ=0.42),0.3000,0.0033,0.5484,0.3046,0.2184,0.9805
2,Cosine(τ=1.0),1.0000,0.0036,ref,1.0000,1.0000,0.9537
2,Hybrid(τ=0.72),0.7000,0.0057,0.9320,0.5913,0.4074,0.9702
2,Taumode(τ=0.42),0.1000,0.0066,0.4307,0.2422,0.1515,0.9846
3,Cosine(τ=1.0),1.0000,0.0003,ref,1.0000,1.0000,0.9398
3,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9666,0.9422,0.9572
3,Taumode(τ=0.42),1.0000,0.0001,0.9995,0.9976,0.9766,0.9757
4,Cosine(τ=1.0),1.0000,0.0045,ref,1.0000,1.0000,0.8854
4,Hybrid(τ=0.72),0.8000,0.0013,0.9949,0.7442,0.6217,0.9260
4,Taumode(τ=0.42),0.7000,0.0002,0.9584,0.7904,0.6956,0.9680
5,Cosine(τ=1.0),1.0000,0.0007,ref,1.0000,1.0000,0.9439
5,Hybrid(τ=0.72),0.8000,0.0002,1.0000,0.9127,0.8380,0.9582
5,Taumode(τ=0.42),0.8000,0.0001,0.9833,0.9767,0.9224,0.9754
6,Cosine(τ=1.0),1.0000,0.0133,ref,1.0000,1.0000,0.9375
6,Hybrid(τ=0.72),0.7000,0.0179,0.8105,0.5631,0.3945,0.9356
6,Taumode(τ=0.42),0.4000,0.0192,0.8313,0.2749,0.2016,0.9561
7,Cosine(τ=1.0),1.0000,0.0001,ref,1.0000,1.0000,0.9216
7,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9978,0.9856,0.9456
7,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9964,0.9672,0.9694
8,Cosine(τ=1.0),1.0000,0.0016,ref,1.0000,1.0000,0.9416
8,Hybrid(τ=0.72),0.7000,0.0005,0.9946,0.6135,0.5239,0.9526
8,Taumode(τ=0.42),0.6000,0.0002,1.0000,0.8103,0.7358,0.9720
9,Cosine(τ=1.0),1.0000,0.0004,ref,1.0000,1.0000,0.8333
9,Hybrid(τ=0.72),1.0000,0.0003,0.9956,0.9923,0.9556,0.8860
9,Taumode(τ=0.42),1.0000,0.0002,0.9866,0.9368,0.8799,0.9377
10,Cosine(τ=1.0),1.0000,0.0032,ref,1.0000,1.0000,0.9170
10,Hybrid(τ=0.72),0.6000,0.0048,0.9668,0.6360,0.4656,0.9418
10,Taumode(τ=0.42),0.3000,0.0060,0.9158,0.5148,0.3647,0.9634
11,Cosine(τ=1.0),1.0000,0.0006,ref,1.0000,1.0000,0.9403
11,Hybrid(τ=0.72),1.0000,0.0002,0.9965,0.8714,0.8366,0.9547
11,Taumode(τ=0.42),0.9000,0.0001,1.0000,0.9651,0.9207,0.9735
12,Cosine(τ=1.0),1.0000,0.0028,ref,1.0000,1.0000,0.9335
12,Hybrid(τ=0.72),0.7000,0.0010,0.9178,0.8276,0.6737,0.9519
12,Taumode(τ=0.42),0.3000,0.0003,0.9697,0.4808,0.4379,0.9718
13,Cosine(τ=1.0),1.0000,0.0093,ref,1.0000,1.0000,0.9571
13,Hybrid(τ=0.72),0.5000,0.0109,0.9576,0.6683,0.5039,0.9718
13,Taumode(τ=0.42),0.3000,0.0111,0.9569,0.3349,0.2462,0.9835
14,Cosine(τ=1.0),1.0000,0.0050,ref,1.0000,1.0000,0.9270
14,Hybrid(τ=0.72),1.0000,0.0046,0.9705,0.7562,0.5761,0.9429
14,Taumode(τ=0.42),0.6000,0.0044,0.8490,0.4051,0.2792,0.9630
15,Cosine(τ=1.0),1.0000,0.0001,ref,1.0000,1.0000,0.9549
15,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9999,0.9960,0.9680
15,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9993,0.9838,0.9816
16,Cosine(τ=1.0),1.0000,0.0002,ref,1.0000,1.0000,0.9603
16,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9375,0.8925,0.9709
16,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9448,0.8715,0.9831
17,Cosine(τ=1.0),1.0000,0.0031,ref,1.0000,1.0000,0.8882
17,Hybrid(τ=0.72),0.8000,0.0013,0.9640,0.8405,0.6885,0.9089
17,Taumode(τ=0.42),0.5000,0.0005,0.9984,0.6781,0.5356,0.9371
18,Cosine(τ=1.0),1.0000,0.0001,ref,1.0000,1.0000,0.9441
18,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9933,0.9769,0.9605
18,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9772,0.9491,0.9774
19,Cosine(τ=1.0),1.0000,0.0004,ref,1.0000,1.0000,0.9330
19,Hybrid(τ=0.72),0.9000,0.0002,1.0000,0.9523,0.8971,0.9507
19,Taumode(τ=0.42),0.9000,0.0001,0.9995,0.8492,0.8398,0.9710
20,Cosine(τ=1.0),1.0000,0.0001,ref,1.0000,1.0000,0.9715
20,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9947,0.9814,0.9800
20,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9986,0.9777,0.9886
21,Cosine(τ=1.0),1.0000,0.0107,ref,1.0000,1.0000,0.9362
21,Hybrid(τ=0.72),0.3000,0.0160,1.0000,0.3693,0.2662,0.9320
21,Taumode(τ=0.42),0.3000,0.0169,1.0000,0.2992,0.2267,0.9479
22,Cosine(τ=1.0),1.0000,0.0015,ref,1.0000,1.0000,0.9510
22,Hybrid(τ=0.72),0.7000,0.0005,0.9940,0.7827,0.6744,0.9600
22,Taumode(τ=0.42),0.5000,0.0002,1.0000,0.6753,0.6388,0.9757
23,Cosine(τ=1.0),1.0000,0.0003,ref,1.0000,1.0000,0.9416
23,Hybrid(τ=0.72),0.9000,0.0001,1.0000,0.9835,0.9588,0.9591
23,Taumode(τ=0.42),0.9000,0.0001,1.0000,0.9981,0.9691,0.9773
24,Cosine(τ=1.0),1.0000,0.0058,ref,1.0000,1.0000,0.9608
24,Hybrid(τ=0.72),0.6000,0.0048,0.9668,0.5027,0.3609,0.9616
24,Taumode(τ=0.42),0.4000,0.0048,0.9031,0.5512,0.4021,0.9727
25,Cosine(τ=1.0),1.0000,0.0023,ref,1.0000,1.0000,0.9436
25,Hybrid(τ=0.72),0.8000,0.0005,0.9729,0.7744,0.6791,0.9617
25,Taumode(τ=0.42),0.7000,0.0002,1.0000,0.8486,0.7730,0.9768
26,Cosine(τ=1.0),1.0000,0.0009,ref,1.0000,1.0000,0.9485
26,Hybrid(τ=0.72),1.0000,0.0004,0.9716,0.8373,0.7620,0.9627
26,Taumode(τ=0.42),0.7000,0.0002,0.9198,0.9622,0.8924,0.9790
27,Cosine(τ=1.0),1.0000,0.0001,ref,1.0000,1.0000,0.9570
27,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9868,0.9759,0.9696
27,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9992,0.9855,0.9827
28,Cosine(τ=1.0),1.0000,0.0002,ref,1.0000,1.0000,0.9600
28,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9187,0.8841,0.9710
28,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9414,0.9182,0.9833
29,Cosine(τ=1.0),1.0000,0.0067,ref,1.0000,1.0000,0.9406
29,Hybrid(τ=0.72),0.7000,0.0058,0.9415,0.5482,0.3939,0.9569
29,Taumode(τ=0.42),0.2000,0.0051,0.6913,-0.0305,-0.0017,0.9757
30,Cosine(τ=1.0),1.0000,0.0007,ref,1.0000,1.0000,0.9380
30,Hybrid(τ=0.72),0.9000,0.0003,0.9893,0.9568,0.8939,0.9539
30,Taumode(τ=0.42),0.9000,0.0002,0.9985,0.8722,0.8168,0.9729
31,Cosine(τ=1.0),1.0000,0.0023,ref,1.0000,1.0000,0.9271
31,Hybrid(τ=0.72),0.6000,0.0006,0.9960,0.7833,0.6211,0.9421
31,Taumode(τ=0.42),0.5000,0.0002,0.9923,0.7294,0.6352,0.9638
32,Cosine(τ=1.0),1.0000,0.0045,ref,1.0000,1.0000,0.9265
32,Hybrid(τ=0.72),0.9000,0.0036,0.9836,0.8333,0.6658,0.9567
32,Taumode(τ=0.42),0.4000,0.0028,0.8860,0.2451,0.1710,0.9804
33,Cosine(τ=1.0),1.0000,0.0079,ref,1.0000,1.0000,0.9423
33,Hybrid(τ=0.72),0.5000,0.0079,0.9901,0.6810,0.5023,0.9499
33,Taumode(τ=0.42),0.4000,0.0081,1.0000,0.4073,0.2960,0.9654
34,Cosine(τ=1.0),1.0000,0.0022,ref,1.0000,1.0000,0.9699
34,Hybrid(τ=0.72),0.8000,0.0007,0.9518,0.8286,0.6728,0.9784
34,Taumode(τ=0.42),0.6000,0.0004,0.6995,0.7039,0.5579,0.9870
35,Cosine(τ=1.0),1.0000,0.0041,ref,1.0000,1.0000,0.9643
35,Hybrid(τ=0.72),0.6000,0.0076,0.7700,0.5626,0.3971,0.9705
35,Taumode(τ=0.42),0.3000,0.0084,0.6744,0.7206,0.5441,0.9795
36,Cosine(τ=1.0),1.0000,0.0001,ref,1.0000,1.0000,0.8744
36,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9998,0.9938,0.9126
36,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9985,0.9772,0.9507
37,Cosine(τ=1.0),1.0000,0.0031,ref,1.0000,1.0000,0.9199
37,Hybrid(τ=0.72),0.8000,0.0027,0.9328,0.9030,0.7569,0.9421
37,Taumode(τ=0.42),0.6000,0.0029,0.7986,0.3445,0.2536,0.9589
38,Cosine(τ=1.0),1.0000,0.0007,ref,1.0000,1.0000,0.9291
38,Hybrid(τ=0.72),0.9000,0.0003,0.9996,0.9205,0.8522,0.9502
38,Taumode(τ=0.42),0.8000,0.0003,0.9948,0.8516,0.7562,0.9734
39,Cosine(τ=1.0),1.0000,0.0036,ref,1.0000,1.0000,0.9465
39,Hybrid(τ=0.72),0.6000,0.0013,0.8803,0.5793,0.4194,0.9538
39,Taumode(τ=0.42),0.2000,0.0002,1.0000,0.1262,0.2246,0.9682
40,Cosine(τ=1.0),1.0000,0.0035,ref,1.0000,1.0000,0.9199
40,Hybrid(τ=0.72),0.7000,0.0034,0.9485,0.8370,0.6608,0.9386
40,Taumode(τ=0.42),0.4000,0.0039,0.9305,0.4143,0.3171,0.9571
41,Cosine(τ=1.0),1.0000,0.0020,ref,1.0000,1.0000,0.9403
41,Hybrid(τ=0.72),0.7000,0.0008,0.9949,0.8032,0.6862,0.9605
41,Taumode(τ=0.42),0.4000,0.0002,0.9772,0.6524,0.6215,0.9783
42,Cosine(τ=1.0),1.0000,0.0066,ref,1.0000,1.0000,0.9547
42,Hybrid(τ=0.72),0.8000,0.0084,0.9643,0.4655,0.3442,0.9498
42,Taumode(τ=0.42),0.3000,0.0092,0.8892,0.1081,0.0360,0.9597
43,Cosine(τ=1.0),1.0000,0.0055,ref,1.0000,1.0000,0.9586
43,Hybrid(τ=0.72),0.5000,0.0022,0.8847,0.4972,0.3845,0.9661
43,Taumode(τ=0.42),0.3000,0.0013,0.8002,0.3797,0.3690,0.9777
44,Cosine(τ=1.0),1.0000,0.0010,ref,1.0000,1.0000,0.9298
44,Hybrid(τ=0.72),0.9000,0.0012,0.9721,0.9685,0.8705,0.9454
44,Taumode(τ=0.42),0.8000,0.0017,0.8547,0.7384,0.5791,0.9606
45,Cosine(τ=1.0),1.0000,0.0050,ref,1.0000,1.0000,0.9322
45,Hybrid(τ=0.72),0.5000,0.0107,0.5095,0.2649,0.1763,0.9525
45,Taumode(τ=0.42),0.1000,0.0122,0.3155,-0.0400,-0.0290,0.9531
46,Cosine(τ=1.0),1.0000,0.0167,ref,1.0000,1.0000,0.9496
46,Hybrid(τ=0.72),0.6000,0.0169,0.8938,0.6103,0.4536,0.9616
46,Taumode(τ=0.42),0.4000,0.0172,0.7569,0.3292,0.2424,0.9773
47,Cosine(τ=1.0),1.0000,0.0003,ref,1.0000,1.0000,0.9488
47,Hybrid(τ=0.72),1.0000,0.0002,0.9972,0.9504,0.8813,0.9624
47,Taumode(τ=0.42),0.9000,0.0001,1.0000,0.8288,0.7892,0.9779
48,Cosine(τ=1.0),1.0000,0.0071,ref,1.0000,1.0000,0.8631
48,Hybrid(τ=0.72),0.8000,0.0079,0.9836,0.7103,0.5322,0.9059
48,Taumode(τ=0.42),0.5000,0.0090,0.9439,0.3570,0.2348,0.9531
49,Cosine(τ=1.0),1.0000,0.0032,ref,1.0000,1.0000,0.9594
49,Hybrid(τ=0.72),0.6000,0.0010,0.8919,0.6694,0.5136,0.9677
49,Taumode(τ=0.42),0.3000,0.0005,0.9908,0.7179,0.5796,0.9779
50,Cosine(τ=1.0),1.0000,0.0007,ref,1.0000,1.0000,0.9347
50,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.8880,0.8345,0.9508
50,Taumode(τ=0.42),1.0000,0.0001,0.9966,0.9811,0.9335,0.9717
